user_id,avg_sessions,avg_features_used,total_tickets,avg_nps,total_mrr,months_active,plan,churned,industry,company_size,acquisition_channel,churn_probability,risk_segment
U0001,2.4166666666666665,1.75,4,6.0,0,12,1,0,2,2,3,0.36,LOW RISK
U0002,34.5,9.916666666666666,5,6.333333333333333,4788,12,0,0,4,4,2,0.07,LOW RISK
U0003,19.083333333333332,5.083333333333333,5,7.0,1188,12,2,0,3,2,4,0.15,LOW RISK
U0004,8.333333333333334,1.0,0,6.0,87,3,3,1,1,3,1,0.99,HIGH RISK
U0005,2.5,1.25,10,6.0,0,12,1,0,5,2,3,0.19,LOW RISK
U0006,2.3333333333333335,1.0,2,7.0,0,3,1,1,1,1,3,0.97,HIGH RISK
U0007,3.0833333333333335,1.4166666666666667,6,5.5,0,12,1,0,4,3,1,0.26,LOW RISK
U0008,17.0,5.5,6,8.666666666666666,1188,12,2,0,4,0,1,0.14,LOW RISK
U0009,8.25,2.1666666666666665,7,6.0,348,12,3,0,5,3,3,0.11,LOW RISK
U0010,20.666666666666668,4.666666666666667,2,6.0,297,3,2,1,0,0,3,0.99,HIGH RISK
U0011,2.0833333333333335,1.3333333333333333,11,5.0,0,12,1,0,5,3,1,0.16,LOW RISK
U0012,25.0,10.0,0,6.0,1596,4,0,1,2,2,3,0.81,HIGH RISK
U0013,15.916666666666666,5.333333333333333,9,5.666666666666667,1188,12,2,0,3,3,2,0.07,LOW RISK
U0014,2.5833333333333335,1.5,8,5.0,0,12,1,0,0,3,3,0.22,LOW RISK
U0015,4.0,2.0,1,6.0,0,1,1,1,5,3,1,0.99,HIGH RISK
U0016,2.3333333333333335,1.3333333333333333,4,4.5,0,6,1,1,1,4,4,0.98,HIGH RISK
U0017,4.0,1.0,1,6.0,0,1,1,1,0,2,1,1.0,HIGH RISK
U0018,6.916666666666667,2.1666666666666665,12,7.0,348,12,3,0,0,0,2,0.09,LOW RISK
U0019,7.875,2.625,3,5.5,232,8,3,1,5,2,1,0.87,HIGH RISK
