user_id,month,plan,industry,company_size,acquisition_channel,country,sessions,features_used,support_tickets,nps_score,mrr,is_churned
U0001,2023-01-01,free,Finance,11-50,referral,France,5,1,1,,0,0
U0001,2023-02-01,free,Finance,11-50,referral,France,4,2,0,,0,0
U0001,2023-03-01,free,Finance,11-50,referral,France,2,1,1,,0,0
U0001,2023-04-01,free,Finance,11-50,referral,France,1,2,0,,0,0
U0001,2023-05-01,free,Finance,11-50,referral,France,2,3,0,6.0,0,0
U0001,2023-06-01,free,Finance,11-50,referral,France,3,1,1,,0,0
U0001,2023-07-01,free,Finance,11-50,referral,France,1,1,1,6.0,0,0
U0001,2023-08-01,free,Finance,11-50,referral,France,1,3,0,,0,0
U0001,2023-09-01,free,Finance,11-50,referral,France,3,2,0,,0,0
U0001,2023-10-01,free,Finance,11-50,referral,France,3,3,0,,0,0
U0001,2023-11-01,free,Finance,11-50,referral,France,3,1,0,5.0,0,0
U0001,2023-12-01,free,Finance,11-50,referral,France,1,1,0,7.0,0,0
U0002,2023-01-01,enterprise,Retail,51-200,paid_search,UK,38,10,0,4.0,399,0
U0002,2023-02-01,enterprise,Retail,51-200,paid_search,UK,36,10,0,8.0,399,0
U0002,2023-03-01,enterprise,Retail,51-200,paid_search,UK,48,10,0,,399,0
U0002,2023-04-01,enterprise,Retail,51-200,paid_search,UK,46,10,1,,399,0
U0002,2023-05-01,enterprise,Retail,51-200,paid_search,UK,34,10,2,,399,0
U0002,2023-06-01,enterprise,Retail,51-200,paid_search,UK,24,10,0,,399,0
U0002,2023-07-01,enterprise,Retail,51-200,paid_search,UK,29,10,1,,399,0
U0002,2023-08-01,enterprise,Retail,51-200,paid_search,UK,37,9,0,,399,0
U0002,2023-09-01,enterprise,Retail,51-200,paid_search,UK,13,10,0,,399,0
U0002,2023-10-01,enterprise,Retail,51-200,paid_search,UK,23,10,0,,399,0
U0002,2023-11-01,enterprise,Retail,51-200,paid_search,UK,38,10,0,7.0,399,0
U0002,2023-12-01,enterprise,Retail,51-200,paid_search,UK,48,10,1,,399,0
U0003,2023-01-01,pro,Healthcare,11-50,social,UK,19,5,0,,99,0
U0003,2023-02-01,pro,Healthcare,11-50,social,UK,13,4,1,,99,0
U0003,2023-03-01,pro,Healthcare,11-50,social,UK,18,6,1,,99,0
U0003,2023-04-01,pro,Healthcare,11-50,social,UK,22,4,0,,99,0
U0003,2023-05-01,pro,Healthcare,11-50,social,UK,8,5,0,,99,0
U0003,2023-06-01,pro,Healthcare,11-50,social,UK,20,5,1,,99,0
U0003,2023-07-01,pro,Healthcare,11-50,social,UK,19,4,0,,99,0
U0003,2023-08-01,pro,Healthcare,11-50,social,UK,20,6,1,,99,0
U0003,2023-09-01,pro,Healthcare,11-50,social,UK,22,3,0,,99,0
U0003,2023-10-01,pro,Healthcare,11-50,social,UK,25,4,0,,99,0
U0003,2023-11-01,pro,Healthcare,11-50,social,UK,16,7,1,,99,0
U0003,2023-12-01,pro,Healthcare,11-50,social,UK,27,8,0,7.0,99,0
U0004,2023-01-01,starter,Education,201-1000,organic,USA,11,1,0,,29,0
U0004,2023-02-01,starter,Education,201-1000,organic,USA,8,1,0,,29,0
U0004,2023-03-01,starter,Education,201-1000,organic,USA,6,1,0,,29,0
U0005,2023-01-01,free,SaaS,11-50,referral,USA,2,1,1,,0,0
U0005,2023-02-01,free,SaaS,11-50,referral,USA,3,3,2,,0,0
U0005,2023-03-01,free,SaaS,11-50,referral,USA,2,1,0,,0,0
U0005,2023-04-01,free,SaaS,11-50,referral,USA,3,1,0,,0,0
U0005,2023-05-01,free,SaaS,11-50,referral,USA,3,1,1,,0,0
U0005,2023-06-01,free,SaaS,11-50,referral,USA,2,1,0,,0,0
U0005,2023-07-01,free,SaaS,11-50,referral,USA,3,1,0,,0,0
U0005,2023-08-01,free,SaaS,11-50,referral,USA,4,1,2,,0,0
U0005,2023-09-01,free,SaaS,11-50,referral,USA,2,1,0,,0,0
U0005,2023-10-01,free,SaaS,11-50,referral,USA,2,2,1,,0,0
U0005,2023-11-01,free,SaaS,11-50,referral,USA,2,1,1,,0,0
U0005,2023-12-01,free,SaaS,11-50,referral,USA,2,1,2,,0,0
U0006,2023-01-01,free,Education,1000+,referral,Canada,2,1,0,7.0,0,0
U0006,2023-02-01,free,Education,1000+,referral,Canada,3,1,1,,0,0
U0006,2023-03-01,free,Education,1000+,referral,Canada,2,1,1,,0,0
U0007,2023-01-01,free,Retail,201-1000,organic,UK,3,1,0,,0,0
U0007,2023-02-01,free,Retail,201-1000,organic,UK,4,2,0,,0,0
U0007,2023-03-01,free,Retail,201-1000,organic,UK,2,1,0,,0,0
U0007,2023-04-01,free,Retail,201-1000,organic,UK,1,1,0,6.0,0,0
U0007,2023-05-01,free,Retail,201-1000,organic,UK,4,1,1,,0,0
U0007,2023-06-01,free,Retail,201-1000,organic,UK,3,2,0,5.0,0,0
U0007,2023-07-01,free,Retail,201-1000,organic,UK,3,4,1,,0,0
U0007,2023-08-01,free,Retail,201-1000,organic,UK,4,1,1,,0,0
U0007,2023-09-01,free,Retail,201-1000,organic,UK,3,1,1,,0,0
U0007,2023-10-01,free,Retail,201-1000,organic,UK,5,1,0,,0,0
U0007,2023-11-01,free,Retail,201-1000,organic,UK,3,1,1,,0,0
U0007,2023-12-01,free,Retail,201-1000,organic,UK,2,1,1,,0,0
U0008,2023-01-01,pro,Retail,1-10,organic,Australia,18,8,1,,99,0
U0008,2023-02-01,pro,Retail,1-10,organic,Australia,19,3,1,8.0,99,0
U0008,2023-03-01,pro,Retail,1-10,organic,Australia,15,6,0,,99,0
U0008,2023-04-01,pro,Retail,1-10,organic,Australia,18,4,0,9.0,99,0
U0008,2023-05-01,pro,Retail,1-10,organic,Australia,16,5,0,,99,0
U0008,2023-06-01,pro,Retail,1-10,organic,Australia,17,4,0,,99,0
