user_id,signup_date,plan,industry,company_size,acquisition_channel,country
U0001,2023-01-01 00:00:00,free,Finance,11-50,referral,France
U0002,2023-01-01 08:00:00,enterprise,Retail,51-200,paid_search,UK
U0003,2023-01-01 16:00:00,pro,Healthcare,11-50,social,UK
U0004,2023-01-02 00:00:00,starter,Education,201-1000,organic,USA
U0005,2023-01-02 08:00:00,free,SaaS,11-50,referral,USA
U0006,2023-01-02 16:00:00,free,Education,1000+,referral,Canada
U0007,2023-01-03 00:00:00,free,Retail,201-1000,organic,UK
U0008,2023-01-03 08:00:00,pro,Retail,1-10,organic,Australia
U0009,2023-01-03 16:00:00,starter,SaaS,201-1000,referral,USA
U0010,2023-01-04 00:00:00,pro,Ecommerce,1-10,referral,USA
U0011,2023-01-04 08:00:00,free,SaaS,201-1000,organic,UK
U0012,2023-01-04 16:00:00,enterprise,Finance,11-50,referral,USA
U0013,2023-01-05 00:00:00,pro,Healthcare,201-1000,paid_search,USA
U0014,2023-01-05 08:00:00,free,Ecommerce,201-1000,referral,India
U0015,2023-01-05 16:00:00,free,SaaS,201-1000,organic,USA
U0016,2023-01-06 00:00:00,free,Education,51-200,social,Canada
U0017,2023-01-06 08:00:00,free,Ecommerce,11-50,organic,USA
U0018,2023-01-06 16:00:00,starter,Ecommerce,1-10,paid_search,USA
U0019,2023-01-07 00:00:00,starter,SaaS,11-50,organic,USA
U0020,2023-01-07 08:00:00,free,Ecommerce,1-10,organic,Australia
U0021,2023-01-07 16:00:00,starter,Education,51-200,paid_search,USA
U0022,2023-01-08 00:00:00,free,Retail,11-50,organic,India
U0023,2023-01-08 08:00:00,free,Ecommerce,1000+,social,USA
U0024,2023-01-08 16:00:00,free,Retail,51-200,organic,India
U0025,2023-01-09 00:00:00,starter,Education,201-1000,paid_search,USA
U0026,2023-01-09 08:00:00,pro,SaaS,1-10,organic,Germany
U0027,2023-01-09 16:00:00,free,Healthcare,201-1000,organic,Canada
U0028,2023-01-10 00:00:00,starter,Ecommerce,201-1000,organic,France
U0029,2023-01-10 08:00:00,starter,Healthcare,11-50,paid_search,USA
U0030,2023-01-10 16:00:00,free,Education,51-200,paid_search,USA
U0031,2023-01-11 00:00:00,starter,Ecommerce,51-200,paid_search,USA
U0032,2023-01-11 08:00:00,free,Retail,1-10,paid_search,Australia
U0033,2023-01-11 16:00:00,free,Finance,11-50,paid_search,Canada
U0034,2023-01-12 00:00:00,enterprise,Healthcare,11-50,organic,India
U0035,2023-01-12 08:00:00,enterprise,Ecommerce,1-10,paid_search,USA
U0036,2023-01-12 16:00:00,pro,Healthcare,11-50,direct,USA
U0037,2023-01-13 00:00:00,free,Ecommerce,1-10,paid_search,USA
U0038,2023-01-13 08:00:00,free,SaaS,1-10,referral,Other
U0039,2023-01-13 16:00:00,starter,Retail,1-10,organic,Germany
U0040,2023-01-14 00:00:00,starter,Healthcare,1000+,referral,Other
U0041,2023-01-14 08:00:00,free,Finance,11-50,referral,USA
U0042,2023-01-14 16:00:00,starter,Finance,1000+,paid_search,Canada
U0043,2023-01-15 00:00:00,free,Education,11-50,direct,Germany
U0044,2023-01-15 08:00:00,enterprise,Ecommerce,11-50,organic,USA
U0045,2023-01-15 16:00:00,free,Healthcare,11-50,organic,Australia
U0046,2023-01-16 00:00:00,starter,Education,11-50,referral,Other
U0047,2023-01-16 08:00:00,free,Healthcare,1-10,social,France
U0048,2023-01-16 16:00:00,starter,Ecommerce,51-200,organic,India
